Target Int,Target Str,Counts
0,ALTOFLUTE,68
1,ALTOSAX,110
2,BANJO,65
3,BASS,968
4,BASSCLARINET,940
5,BASSFLUTE,71
6,BASSOON,723
7,BASSTROMBONE,47
8,BBCLARINET,842
9,BELLS,146
10,CELLO,969
11,CONTRABASSOON,634
12,CROTALE,45
13,EBCLARINET,69
14,ENGLISHHORN,1236
15,FLUTE,946
16,GUITAR,94
17,HIHAT,8
18,HORN,653
19,MANDOLIN,75
20,MARIMBA,325
21,OBOE,601
22,SAWTOOTHWAVE,180
23,SAXOPHONE,655
24,SINEWAVE,182
25,SOPSAX,117
26,SQUAREWAVE,187
27,TENORTROMBONE,54
28,TRIANGLEWAVE,175
29,TROMBONE,746
30,TRUMPET,564
31,TUBA,955
32,VIBRAPHONE,303
33,VIOLA,1047
34,VIOLIN,709
35,WHITENOISE,180
36,XYLOPHONE,150
