Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,109
2,BANJO,65
3,BASS,944
4,BASSCLARINET,935
5,BASSFLUTE,66
6,BASSOON,727
7,BASSTROMBONE,48
8,BBCLARINET,856
9,BELLS,143
10,CELLO,984
11,CONTRABASSOON,648
12,CROTALE,43
13,EBCLARINET,74
14,ENGLISHHORN,1226
15,FLUTE,933
16,GUITAR,97
17,HIHAT,8
18,HORN,673
19,MANDOLIN,69
20,MARIMBA,335
21,OBOE,584
22,SAWTOOTHWAVE,184
23,SAXOPHONE,671
24,SINEWAVE,181
25,SOPSAX,113
26,SQUAREWAVE,179
27,TENORTROMBONE,60
28,TRIANGLEWAVE,177
29,TROMBONE,752
30,TRUMPET,566
31,TUBA,924
32,VIBRAPHONE,305
33,VIOLA,1054
34,VIOLIN,704
35,WHITENOISE,178
36,XYLOPHONE,160
