Target Int,Target Str,Counts
0,ALTOFLUTE,62
1,ALTOSAX,116
2,BANJO,64
3,BASS,959
4,BASSCLARINET,938
5,BASSFLUTE,68
6,BASSOON,717
7,BASSTROMBONE,50
8,BBCLARINET,847
9,BELLS,147
10,CELLO,953
11,CONTRABASSOON,650
12,CROTALE,45
13,EBCLARINET,70
14,ENGLISHHORN,1235
15,FLUTE,925
16,GUITAR,95
17,HIHAT,9
18,HORN,670
19,MANDOLIN,71
20,MARIMBA,331
21,OBOE,598
22,SAWTOOTHWAVE,183
23,SAXOPHONE,659
24,SINEWAVE,171
25,SOPSAX,113
26,SQUAREWAVE,179
27,TENORTROMBONE,57
28,TRIANGLEWAVE,180
29,TROMBONE,747
30,TRUMPET,571
31,TUBA,951
32,VIBRAPHONE,300
33,VIOLA,1059
34,VIOLIN,707
35,WHITENOISE,185
36,XYLOPHONE,157
