CLF,Accuracy,Precision,Recall
XValAlphaCLF0@2020.11.25.01.42.29.519414@PREDICTIONS.csv,0.023878992628992627,0.8497626132943767,0.8534836432130711
XValAlphaCLF1@2020.11.25.02.32.31.466283@PREDICTIONS.csv,0.023925061425061424,0.8570631144176354,0.8657373079235734
XValAlphaCLF2@2020.11.25.03.21.58.340376@PREDICTIONS.csv,0.02437039312039312,0.8589360651180729,0.8542317564762485
XValAlphaCLF3@2020.11.25.04.10.51.590186@PREDICTIONS.csv,0.024247542997543,0.8870701009212769,0.9016061419593105
XValAlphaCLF4@2020.11.25.05.07.28.681444@PREDICTIONS.csv,0.023863636363636365,0.884115922320895,0.902609597421012
XValAlphaCLF5@2020.11.25.06.00.19.234005@PREDICTIONS.csv,0.024155405405405405,0.8529546604611444,0.8886122411623163
XValAlphaCLF6@2020.11.25.06.50.18.658037@PREDICTIONS.csv,0.024431818181818183,0.8564256886577609,0.8426802340218063
XValAlphaCLF7@2020.11.25.07.39.22.666320@PREDICTIONS.csv,0.023909705159705162,0.8690496692482581,0.8671713868821719
XValAlphaCLF8@2020.11.25.08.30.25.679766@PREDICTIONS.csv,0.023878992628992627,0.8433229390565697,0.86659932885649
XValAlphaCLF9@2020.11.25.09.18.29.105974@PREDICTIONS.csv,0.023815742974355826,0.8426356908706853,0.877821096409475
