CLF,Accuracy,Precision,Recall,Loss
XValCLFB0@PREDICTIONS@2020.11.04.23.58.51.237268.csv,0.990759552,0.824431837,0.824431837,2.829824924
XValCLFB1@PREDICTIONS@2020.11.05.01.16.13.543346.csv,0.989204526,0.794886351,0.794886351,3.306041002
XValCLFB2@PREDICTIONS@2020.11.05.02.32.22.958838.csv,0.989802659,0.806249976,0.806249976,3.122880936
XValCLFB3@PREDICTIONS@2020.11.05.03.48.15.153021.csv,0.990819395,0.825568199,0.825568199,2.811508656
XValCLFB4@PREDICTIONS@2020.11.05.05.04.18.559402.csv,0.99037081,0.81704545,0.81704545,2.948879004
XValCLFB5@PREDICTIONS@2020.11.05.06.21.52.322733.csv,0.990311027,0.815909088,0.815909088,2.967195034
XValCLFB6@PREDICTIONS@2020.11.05.07.38.00.396889.csv,0.990610063,0.8215909,0.8215909,2.875614882
XValCLFB7@PREDICTIONS@2020.11.05.08.53.48.480581.csv,0.988636374,0.784090936,0.784090936,3.480043411
XValCLFB8@PREDICTIONS@2020.11.05.10.10.06.756974.csv,0.990789473,0.824999988,0.824999988,2.820666552
XValCLFB9@PREDICTIONS@2020.11.05.11.25.40.874227.csv,0.989168465,0.794201255,0.794201255,3.317083836
,,,,
,0.990047234,0.810897398,0.810897398,3.047973824
