CLF,Accuracy,Precision,Recall,Loss
XValCLFB0@PREDICTIONS@2020.11.04.23.58.51.237268.csv,0.8244318181818182,0.8242194668930601,0.8354205894301433,2.829824924468994
XValCLFB1@PREDICTIONS@2020.11.05.01.16.13.543346.csv,0.7948863636363637,0.8001571347185026,0.7947263469666138,3.3060410022735596
XValCLFB2@PREDICTIONS@2020.11.05.02.32.22.958838.csv,0.80625,0.8196074830579712,0.8011881791799857,3.1228809356689453
XValCLFB3@PREDICTIONS@2020.11.05.03.48.15.153021.csv,0.8255681818181818,0.8389319437855299,0.8558529989599343,2.8115086555480957
XValCLFB4@PREDICTIONS@2020.11.05.05.04.18.559402.csv,0.8170454545454545,0.8081355891143889,0.8138620505803736,2.9488790035247803
XValCLFB5@PREDICTIONS@2020.11.05.06.21.52.322733.csv,0.8159090909090909,0.7898329085800542,0.8216619939142986,2.9671950340270996
XValCLFB6@PREDICTIONS@2020.11.05.07.38.00.396889.csv,0.821590909090909,0.8046278444509292,0.824763669487818,2.875614881515503
XValCLFB7@PREDICTIONS@2020.11.05.08.53.48.480581.csv,0.7840909090909091,0.7809585864408471,0.8119860315704293,3.480043411254883
XValCLFB8@PREDICTIONS@2020.11.05.10.10.06.756974.csv,0.825,0.8518537356220579,0.8197716841664281,2.820666551589966
XValCLFB9@PREDICTIONS@2020.11.05.11.25.40.874227.csv,0.7942012507106311,0.828777451220158,0.8288863044179483,3.3170838356018066
